"loeuf_rank","input_order","e3_gene_symbol","ncbi_gene_id","uniprot_accession","e3_protein_class","major_e3_class","post_publication_update","match_status","match_method","match_note","gene","ensembl_gene_id","transcript_id","transcript_version","transcript_selection_method","chromosome","start_position","end_position","loeuf","pLI","plof_obs","plof_exp","plof_oe","missense_oe","missense_z","synonymous_oe","highly_lof_constrained","strong_missense_constraint","constraint_signal_pattern","quality_status","quality_flags","low_coverage_flag","poor_mappability_flag","gene_quality_metrics.exome_prop_bp_AN90","gene_quality_metrics.exome_mean_AS_MQ","gene_quality_metrics.exome_prop_segdup","gene_quality_metrics.exome_prop_LCR","gene_flags","constraint_flags"
364,159,"RNF20",56254,"Q5VTR2","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF20","ENSG00000155827","ENST00000389120","ENST00000389120.8","MANE Select","chr9",101533853,101563344,0.79827,1.99e-18,84,126.16,0.66581,0.73133,3.9499,0.96551,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,0.99282,59.998,0,0.037949,"[]","[]"
365,596,"DCAF4",26094,"Q8WV16","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DCAF4","ENSG00000119599","ENST00000358377","ENST00000358377.7","MANE Select","chr14",72926464,72959703,0.79963,1.5567e-07,37,60.872,0.60783,0.88767,1.2214,0.95388,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.998,0,0,"[]","[]"
366,472,"SOCS1",8651,"O15524","CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)","CRL2; CRL5","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","SOCS1","ENSG00000185338","ENST00000332029","ENST00000332029.4","MANE Select","chr16",11254417,11256204,0.79978,0.61294,3,9.6948,0.30944,1.1332,-1.0239,1.2918,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.75829,59.998,0,0.097946,"[]","[]"
367,458,"KLHDC2",23588,"Q9Y2U9","CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)","CRL2; CRL5","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KLHDC2","ENSG00000165516","ENST00000298307","ENST00000298307.10","MANE Select","chr14",49768153,49786385,0.80006,9.1028e-08,38,62.256,0.61039,0.86819,1.2511,0.98762,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.97701,60,0,0,"[]","[]"
368,145,"RNF167",26001,"Q9H6Y7","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF167","ENSG00000108523","ENST00000262482","ENST00000262482.11","MANE Select","chr17",4940268,4945222,0.80066,0.0013628,19,34.82,0.54566,1.038,-0.34287,1.1734,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
369,351,"HECTD3",79654,"Q5T447","HECT E3 ligase","HECT","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","HECTD3","ENSG00000126107","ENST00000372172","ENST00000372172.5","MANE Select","chr1",45002548,45011324,0.80171,1.0741e-15,72,109.27,0.65895,0.89342,1.5515,1.0194,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.94232,59.999,0,0,"[]","[]"
370,491,"BTBD19",149478,"C9JJ37","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BTBD19","ENSG00000222009","ENST00000450269","ENST00000450269.5","Ensembl canonical","chr1",44808482,44814129,0.80489,0.00075994,20,36.107,0.55391,0.83386,1.3988,0.90051,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.93127,59.996,0,0,"[]","[]"
371,446,"ZC3HC1",51530,"Q86WB0","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","ZC3HC1","ENSG00000091732","ENST00000358303","ENST00000358303.9","MANE Select","chr7",130018292,130051374,0.80528,7.4431e-08,38,61.853,0.61436,0.88968,1.1741,0.92632,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
372,363,"NEDD4",4734,"P46934","HECT E3 ligase","HECT","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","NEDD4","ENSG00000069869","ENST00000435532","ENST00000435532.8","MANE Select","chr15",55826922,55993612,0.80763,2.2889e-22,99,144.87,0.68339,0.92409,1.057,0.907,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.96852,59.999,0,0,"[]","[]"
373,19,"CHFR",55743,"Q96EP1","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CHFR","ENSG00000072609","ENST00000450056","ENST00000450056.7","MANE Select","chr12",132832356,132887605,0.81098,2.1656e-12,57,87.634,0.65043,0.92052,0.99747,1.0608,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99796,59.999,0,0,"[]","[]"
374,279,"TTC3",7267,"P53804","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TTC3","ENSG00000182670","ENST00000355666","ENST00000355666.5","Ensembl canonical","chr21",37073271,37203103,0.81609,7.8327e-43,180,249.58,0.7212,0.85931,2.9386,0.89066,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.056,0.19671,0.013663,"[]","[]"
375,397,"FBXO15",201456,"Q8NCQ5","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO15","ENSG00000141665","ENST00000419743","ENST00000419743.7","MANE Select","chr18",74073368,74147834,0.82146,2.9095e-06,30,49.534,0.60564,0.9358,0.68809,1.0744,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99935,59.999,0,0,"[]","[]"
376,427,"FBXO6",26270,"Q9NRD1","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO6","ENSG00000116663","ENST00000376753","ENST00000376753.9","MANE Select","chr1",11664200,11674354,0.82751,0.015425,13,24.977,0.52049,0.97305,0.2241,0.88863,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.153,0,0,"[]","[]"
377,678,"RASD2",23551,"Q96D21","Atypical E3, SUMO E3","Atypical","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RASD2","ENSG00000100302","ENST00000216127","ENST00000216127.5","MANE Select","chr22",35540831,35553999,0.82966,0.20374,7,15.848,0.44171,0.7158,2.3715,1.0093,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
378,155,"RNF185",91445,"Q96GF1","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF185","ENSG00000138942","ENST00000326132","ENST00000326132.11","MANE Select","chr22",31160182,31207019,0.82977,0.014916,13,24.909,0.5219,0.75197,1.6547,0.87519,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,56.344,0.16493,0,"[]","[]"
379,504,"IPP",3652,"Q9Y573","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","IPP","ENSG00000197429","ENST00000396478","ENST00000396478.4","MANE Select","chr1",45698711,45750653,0.83042,5.6419e-09,41,64.061,0.64001,0.92312,0.86941,0.90979,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
380,428,"FBXO7",25793,"Q9Y3I1","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO7","ENSG00000100225","ENST00000266087","ENST00000266087.12","MANE Select","chr22",32474811,32498829,0.83272,1.2135e-06,31,50.242,0.61701,1.0316,-0.3425,1.0114,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99936,59.999,0,0,"[]","[]"
381,243,"TRIM49B",283116,"A6NDI0","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRIM49B","ENSG00000182053","ENST00000332682","ENST00000332682.9","MANE Select","chr11",49028823,49038155,0.83922,0.0010277,18,31.805,0.56594,0.91706,0.82101,1.0852,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,50.111,1,0,"[]","[]"
382,424,"FBXO47",494188,"Q5MNV8","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO47","ENSG00000204952","ENST00000378079","ENST00000378079.3","MANE Select","chr17",38936432,38967403,0.83926,1.9321e-07,34,53.935,0.63038,0.89604,1.0315,0.90874,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99484,59.999,0,0,"[]","[]"
383,564,"KLHL7",55975,"Q8IXQ5","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KLHL7","ENSG00000122550","ENST00000339077","ENST00000339077.10","MANE Select","chr7",23105785,23177914,0.83958,7.4558e-10,44,67.382,0.653,0.50407,5.6681,1.0356,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
384,151,"RNF180",285671,"Q86T96","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF180","ENSG00000164197","ENST00000389100","ENST00000389100.9","MANE Select","chr5",64165843,64372869,0.84158,1.9615e-08,38,59.185,0.64206,1.0058,-0.0657,1.0904,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.97523,59.999,0,0,"[]","[]"
385,331,"PPIL2",23759,"Q13356","Degenerate RING (U-box)","degenerate RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PPIL2","ENSG00000100023","ENST00000398831","ENST00000398831.8","MANE Select","chr22",21666012,21697907,0.84161,2.3422e-11,50,75.198,0.66491,0.86127,1.5486,0.94674,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99744,60,0,0,"[]","[]"
386,436,"FBXW4",6468,"P57775","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXW4","ENSG00000107829","ENST00000331272","ENST00000331272.9","MANE Select","chr10",101610666,101695170,0.84248,6.2347e-09,40,61.805,0.6472,0.89148,1.2707,0.991,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.68195,59.943,0.23516,0.014697,"[]","[]"
387,592,"DCAF13",25879,"Q9NV06","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DCAF13","ENSG00000164934","ENST00000612750","ENST00000612750.5","MANE Select","chr8",103415386,103443453,0.84366,1.8233e-08,38,59.039,0.64365,0.83988,1.6137,0.98855,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.581,0,0,"[]","[]"
388,619,"WDR12",55759,"Q9GZL7","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","WDR12","ENSG00000138442","ENST00000261015","ENST00000261015.5","MANE Select","chr2",202874261,202911673,0.84437,1.8966e-09,42,64.337,0.65281,0.94827,0.49064,0.91148,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.867,0,0,"[]","[]"
389,28,"DZIP3",9666,"Q86Y13","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DZIP3","ENSG00000198919","ENST00000361582","ENST00000361582.8","MANE Select","chr3",108589722,108694840,0.84888,8.7564e-29,118,161.97,0.72853,0.94597,0.86433,0.95512,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.96523,59.997,0,0,"[]","[]"
390,560,"KLHL41",10324,"O60662","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KLHL41","ENSG00000239474","ENST00000284669","ENST00000284669.2","MANE Select","chr2",169509702,169526258,0.85038,7.1981e-07,31,49.199,0.6301,0.91238,1.0074,0.84334,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
391,653,"SOCS4",122809,"Q8WXH5","CRL5 substrate receptor (BC-box protein with CUL5 box)","CRL5","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","SOCS4","ENSG00000180008","ENST00000555846","ENST00000555846.2","MANE Select","chr14",55027236,55049489,0.85103,0.00028469,20,34.149,0.58567,0.89963,0.98776,0.96571,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
392,538,"KLHL18",23276,"O94889","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KLHL18","ENSG00000114648","ENST00000232766","ENST00000232766.6","MANE Select","chr3",47282944,47346816,0.85115,1.4059e-08,38,58.519,0.64936,0.80161,2.3607,1.0035,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
393,210,"TRIM13",10206,"O60858","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRIM13","ENSG00000204977","ENST00000378182","ENST00000378182.4","MANE Select","chr13",49997042,50018467,0.8512,0.0039344,15,27.135,0.55279,0.85138,1.3774,1.1255,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
394,452,"CISH",1154,"Q9NSE2","CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)","CRL2; CRL5","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CISH","ENSG00000114737","ENST00000348721","ENST00000348721.4","MANE Select","chr3",50606489,50611774,0.85314,0.028656,11,21.342,0.51542,0.79615,1.6304,0.82928,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
395,17,"CCNB1IP1",57820,"Q9NPC3","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CCNB1IP1","ENSG00000100814","ENST00000358932","ENST00000358932.9","MANE Select","chr14",20311370,20333279,0.85384,0.0063164,14,25.633,0.54617,0.81202,1.4834,1.025,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.904,0,0,"[]","[]"
396,49,"MARCHF3",115123,"Q86UD3","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF3","ENSG00000173926","ENST00000308660","ENST00000308660.6","MANE Select","chr5",126867714,127030558,0.85393,0.010501,13,24.204,0.5371,0.84922,1.1593,1.0486,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.998,0,0,"[]","[]"
397,237,"TRIM43B",653192,"A6NCK2","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRIM43B","ENSG00000144010","ENST00000639673","ENST00000639673.2","Ensembl canonical","chr2",95477164,95484731,0.85402,0.0037612,15,27.045,0.55463,0.59352,2.9512,0.70526,FALSE,FALSE,"missing or flagged constraint","flagged","gene_flags=[""low_exome_mapping_quality""]",TRUE,TRUE,0.55157,37.83,1,0,"[""low_exome_mapping_quality""]","[]"
398,527,"KCTD7",154881,"Q96MP8","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KCTD7","ENSG00000243335","ENST00000639828","ENST00000639828.2","MANE Select","chr7",66628881,66643047,0.85506,0.0036997,15,27.012,0.5553,0.7495,2.1339,0.97713,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.98616,60,0,0,"[]","[]"
399,500,"GAN",8139,"Q9H2C0","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","GAN","ENSG00000261609","ENST00000648994","ENST00000648994.2","MANE Select","chr16",81314962,81390809,0.85605,3.9305e-11,48,71.321,0.67302,1.205,-2.426,1.3945,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.97934,59.999,0,0,"[]","[]"
400,415,"FBXO39",162517,"Q8N4B4","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO39","ENSG00000177294","ENST00000321535","ENST00000321535.5","MANE Select","chr17",6776215,6787646,0.85728,8.5081e-05,22,36.645,0.60036,0.98543,0.14492,1.0011,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,60,0,0,"[]","[]"
401,612,"PWP1",11137,"Q13610","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PWP1","ENSG00000136045","ENST00000412830","ENST00000412830.8","MANE Select","chr12",107685799,107713162,0.85765,6.5413e-11,47,69.883,0.67255,0.90501,0.99962,1.0661,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
402,140,"RNF150",57484,"Q9ULK6","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF150","ENSG00000170153","ENST00000515673","ENST00000515673.7","MANE Select","chr4",140859807,141133469,0.85828,2.7899e-05,24,39.325,0.61029,0.85401,1.5095,1.122,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
403,580,"ARPC1B",10095,"O15143","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","ARPC1B","ENSG00000130429","ENST00000646101","ENST00000646101.2","MANE Select","chr7",99374730,99394816,0.86049,1.6533e-06,29,45.952,0.63109,0.886,1.1186,0.93979,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
404,88,"PDZRN4",29951,"Q6ZMN7","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PDZRN4","ENSG00000165966","ENST00000402685","ENST00000402685.7","MANE Select","chr12",41188320,41574745,0.86279,7.3834e-17,70,98.987,0.70717,1.1073,-1.6694,1.0986,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.9231,59.999,0,0.02574,"[]","[]"
405,161,"RNF208",727800,"Q9H0X6","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF208","ENSG00000212864","ENST00000391553","ENST00000391553.3","MANE Select","chr9",137220259,137222240,0.86321,0.15762,7,15.232,0.45957,0.93928,0.49413,1.2932,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.98212,59.995,0,0,"[]","[]"
406,341,"RNF144B",255488,"Q7Z419","RING-between-RING","RBR","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF144B","ENSG00000137393","ENST00000259939","ENST00000259939.4","MANE Select","chr6",18387350,18468870,0.86795,1.2823e-05,25,40.228,0.62145,0.97675,0.19172,1.0638,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,60,0,0,"[]","[]"
407,430,"FBXO9",26268,"Q9UK97","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO9","ENSG00000112146","ENST00000323557","ENST00000323557.12","MANE Select","chr6",53065404,53100873,0.87007,4.0959e-10,43,63.729,0.67473,0.82894,1.6847,0.90853,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99771,59.997,0,0,"[]","[]"
408,556,"KLHL36",79786,"Q8N4N3","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KLHL36","ENSG00000135686","ENST00000564996","ENST00000564996.6","MANE Select","chr16",84648511,84667686,0.87106,4.0566e-08,35,53.273,0.65699,0.96258,0.47815,1.1832,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.998,0,0,"[]","[]"
409,464,"LRRC58",116064,"Q96CX6","CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)","CRL2; CRL5","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","LRRC58","ENSG00000163428","ENST00000295628","ENST00000295628.4","MANE Select","chr3",120324509,120349354,0.87175,0.00056584,18,30.619,0.58787,0.89663,0.95414,1.0729,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.95238,59.994,0,0,"[]","[]"
410,188,"RNFT1",51136,"Q5M7Z0","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNFT1","ENSG00000189050","ENST00000305783","ENST00000305783.13","MANE Select","chr17",59952240,59964740,0.87279,3.8478e-08,35,53.168,0.65829,0.81739,1.7675,0.81583,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,58.144,1,0,"[]","[]"
411,679,"TECPR1",25851,"Q7Z6L1","Atypical E3 (catalytic site formed from multiple interfaces), Ubl E3","Atypical","Yes","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TECPR1","ENSG00000205356","ENST00000447648","ENST00000447648.7","MANE Select","chr7",98214624,98252232,0.8732,7.9487e-31,122,162.38,0.75131,0.88495,1.9738,0.95735,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99256,59.998,0,0,"[]","[]"
412,608,"GRWD1",83743,"Q9BQ67","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","GRWD1","ENSG00000105447","ENST00000253237","ENST00000253237.10","MANE Select","chr19",48445983,48457022,0.87347,1.1733e-06,29,45.269,0.64062,0.95667,0.45968,1.0169,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.997,0,0,"[]","[]"
413,120,"RNF113B",140432,"Q8IZP6","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF113B","ENSG00000139797","ENST00000267291","ENST00000267291.7","MANE Select","chr13",98175785,98177269,0.87412,0.013349,12,22.242,0.53951,0.97061,0.26752,1.0509,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
414,74,"NEURL1",9148,"O76050","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","NEURL1","ENSG00000107954","ENST00000369780","ENST00000369780.9","MANE Select","chr10",103493705,103592546,0.87466,6.2454e-06,26,41.246,0.63036,0.87365,1.5904,0.99437,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.79094,59.998,0,0,"[]","[]"
415,448,"AMN1",196394,"Q8IY45","CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)","CRL2; CRL5","Yes","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","AMN1","ENSG00000151743","ENST00000281471","ENST00000281471.11","MANE Select","chr12",31671142,31729021,0.8794,0.00016358,20,33.048,0.60519,0.80033,1.493,1.0187,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.997,0,0,"[]","[]"
